feature,importance
product_category_name,15.710263107631377
seller_id,15.663642043584153
product_description_lenght,11.855823024672807
freight_value,10.724306993112295
product_weight_g,7.983863373609347
product_density,3.708987322440559
product_length_cm,3.6148294333234166
smallest_dimension_cm,3.387864606709106
largest_dimension_cm,3.260583489784088
product_width_cm,3.194970842527541
product_name_lenght,3.1521391118372213
product_height_cm,2.9517128186003445
weight_per_photo,2.256878445457924
product_photos_qty,2.238724499975741
estimated_delivery_days,1.7288213415794336
dimension_sum_cm,1.491098936443058
product_volume_cm3,1.479173054493931
volume_per_photo,1.4219255577762855
shipping_limit_days,1.2708368212797927
purchase_year,0.8631915415537996
order_item_count,0.7977695908044281
purchase_month_sin,0.6101581238692623
purchase_month_cos,0.33696915141326567
purchase_day_sin,0.11895494277579471
purchase_quarter,0.09803534811339336
purchase_day_cos,0.07139467177844454
is_weekend,0.007081804853257822
